iter	RMSE
0	686.0409941
1	684.3908915
2	682.7180403
3	681.1863634
4	679.6883176
5	678.1690162
6	676.6890105
7	675.2251029
8	673.7080907
9	672.1813399
10	670.7782665
11	669.3850868
12	668.0059436
13	666.6204447
14	665.3675521
15	664.0298008
16	662.7754116
17	661.4777965
18	660.2225408
19	658.9439774
20	657.6997685
21	656.5094461
22	655.2696658
23	654.0770205
24	652.8631526
25	651.6565216
26	650.6063841
27	649.5455085
28	648.4676831
29	647.3806633
30	646.3511301
31	645.3403658
32	644.3201244
33	643.2321571
34	642.2666814
35	641.2714213
36	640.2997901
37	639.3562348
38	638.4154141
39	637.4047798
40	636.4915261
41	635.543167
42	634.6433848
43	633.6989725
44	632.8643338
45	632.0678781
46	631.2129647
47	630.4090401
48	629.5953583
49	628.7268465
50	627.8949298
51	627.0897363
52	626.3136135
53	625.5335916
54	624.7879189
55	624.003316
56	623.2653355
57	622.5568205
58	621.8665288
59	621.1981997
60	620.5461328
61	619.8675047
62	619.1643842
63	618.4774562
64	617.8289528
65	617.1757743
66	616.5487463
67	615.8865119
68	615.2547391
69	614.5576103
70	613.8754968
71	613.2876183
72	612.673209
73	612.0735651
74	611.4956707
75	610.8684697
76	610.3229798
77	609.7626246
78	609.2229076
79	608.650573
80	608.1101506
81	607.5922105
82	607.045094
83	606.5227677
84	606.0281455
85	605.5584435
86	605.0597592
87	604.5898986
88	604.1035233
89	603.6353739
90	603.1944088
91	602.6727424
92	602.1871622
93	601.7234395
94	601.2384778
95	600.7458268
96	600.3032136
97	599.8324221
98	599.4083013
99	598.9673419
100	598.551045
101	598.1962132
102	597.817242
103	597.3787692
104	596.9805993
105	596.5514414
106	596.1541459
107	595.7658564
108	595.4282447
109	595.0023778
110	594.6668337
111	594.2598122
112	593.8500113
113	593.5019575
114	593.1465647
115	592.8081003
116	592.4853926
117	592.148794
118	591.8108801
119	591.4942651
120	591.1450477
121	590.817279
122	590.4904073
123	590.1197488
124	589.8102413
125	589.5005264
126	589.1707067
127	588.8840766
128	588.5626365
129	588.2764944
130	588.0013491
131	587.6827718
132	587.4003678
133	587.0890737
134	586.7669139
135	586.5039072
136	586.2558936
137	585.9408439
138	585.6581613
139	585.3531856
140	585.0701245
141	584.8221788
142	584.5223667
143	584.2264958
144	583.9522459
145	583.6967746
146	583.4352614
147	583.2236763
148	582.947967
149	582.7076355
150	582.4088001
151	582.1443717
152	581.90977
153	581.6871303
154	581.4438995
155	581.1985703
156	580.9703931
157	580.7218298
158	580.4180447
159	580.1904472
160	579.9842888
161	579.7442862
162	579.513809
163	579.2357822
164	579.0058557
165	578.7824657
166	578.5313837
167	578.3181659
168	578.1231379
169	577.9036817
170	577.661656
171	577.4186577
172	577.2185999
173	576.9785941
174	576.7603855
175	576.5815319
176	576.401328
177	576.1880995
178	575.9999536
179	575.8022777
180	575.6177334
181	575.4056158
182	575.2141684
183	575.0144529
184	574.8624693
185	574.6564237
186	574.4921693
187	574.2998505
188	574.0835995
189	573.8794867
190	573.7025098
191	573.4752865
192	573.3200668
193	573.1306183
194	572.9756537
195	572.7655296
196	572.5762337
197	572.3697253
198	572.1954905
199	572.0687189
200	571.8729319
201	571.7263132
202	571.5865738
203	571.4278296
204	571.2961871
205	571.1560081
206	570.9917071
207	570.8159988
208	570.6054957
209	570.4736596
210	570.2957272
211	570.1316097
212	569.9322713
