Model,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,Valid_R2,Valid_RMSE,Valid_MAE
LightGBM,0.4502499098660695,0.005434166817306437,466.3123754829486,0.4201932722385412,473.145504508161,348.7233217105526
XGBoost,0.4877925395965576,0.004396164211272108,450.10572308123403,0.4009777307510376,480.9219011440423,357.2685546875
Random Forest,0.44561937456953177,0.003941567535729892,468.2732426555788,0.3838050064670351,487.7667315243624,362.92256925356634
