Model,Nested_CV_R2_Mean,Nested_CV_R2_Std,Nested_CV_RMSE_Mean,Nested_CV_RMSE_Std,Nested_CV_MAE_Mean,Nested_CV_MAE_Std
XGBoost,0.49651882648468015,0.009009280384952589,490.0114560526782,3.491659653262284,344.56072387695315,3.101335520354128
Random Forest,0.4630819210526661,0.010965091836631281,506.01159588248504,3.9754149353628523,359.7700691215106,2.711907053381505
LightGBM,0.4528357428549709,0.009981339592290051,510.82197194873163,3.2120447707895323,367.6412369570535,3.404428436947379
