Model,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_RMSE_Std,Valid_R2,Valid_RMSE,Valid_MAE,Valid_MAPE_Robust,Overfitting_Score
LightGBM_BoxCox,0.48094683074247924,0.020234970712076247,796.0374488563269,22.117529898048012,0.37262553674222176,871.4586660810675,512.400233698576,26.61043011398555,0.3688342408845131
XGBoost_BoxCox,0.4974717446267046,0.026382225031609734,783.123346634075,25.20797812341566,0.3375929063216144,895.4593216469024,532.1865537632608,27.623319073983033,0.6512623818058413
RandomForest_BoxCox,0.38508102045548426,0.016827837081948523,866.5206630422339,20.956273544965104,0.2956183784921602,923.3947105136338,555.3590497637274,27.149725127886082,0.32487581922609765
