Model,BoxCox_CV_RMSE_Mean,BoxCox_CV_RMSE_Std,BoxCox_CV_MAE_Mean,BoxCox_CV_MAE_Std,BoxCox_CV_R2_Mean,BoxCox_CV_R2_Std,BoxCox_Scale_MSE_Mean,BoxCox_Scale_MSE_Std,Selection_Score
XGBoost,504.89152742722536,2.5703974328492203,338.06431266506775,2.1356749842837432,0.4654978630663054,0.0073747741352335775,0.09639876672498628,0.0017030855469435924,504.89152742722536
LightGBM,513.3716461250406,1.6220200147042096,345.9003455004961,1.8691741641805184,0.44739760474853646,0.006537643488122003,0.09889375179299276,0.0014138394743496436,513.3716461250406
Random Forest,528.2468381111619,1.4567401197497114,355.55431996405184,1.9410941753635513,0.4149265881191334,0.005188477653891005,0.10382236274938669,0.001042381955270363,528.2468381111619
